the Thread sleep  0.006238 sec
the Thread sleep  0.006175 sec
the Thread sleep  0.005450 sec
the Thread sleep  0.006304 sec
the Thread sleep  0.004285 sec
the Thread sleep  0.005404 sec
the Thread sleep  0.005615 sec
the Thread sleep  0.009321 sec
the Thread sleep  0.012045 sec
the Thread sleep  0.007585 sec
the Thread sleep  0.007959 sec
the Thread sleep  0.005950 sec
the Thread sleep  0.005974 sec
the Thread sleep  0.006153 sec
the Thread sleep  0.007402 sec
the Thread sleep  0.008222 sec
the Thread sleep  0.009316 sec
the Thread sleep  0.005724 sec
the Thread sleep  0.006970 sec
the Thread sleep  0.004858 sec
the Thread sleep  0.006801 sec
the Thread sleep  0.019958 sec
the Thread sleep  0.006535 sec
the Thread sleep  0.008508 sec
the Thread sleep  0.008883 sec
the Thread sleep  0.008984 sec
the Thread sleep  0.008352 sec
the Thread sleep  0.008686 sec
the Thread sleep  0.007530 sec
the Thread sleep  0.009789 sec
the Thread sleep  0.009086 sec
the Thread sleep  0.008353 sec
the Thread sleep  0.007897 sec
the Thread sleep  0.007628 sec
the Thread sleep  0.009754 sec
the Thread sleep  0.008349 sec
the Thread sleep  0.008612 sec
the Thread sleep  0.008517 sec
the Thread sleep  0.006550 sec
the Thread sleep  0.005960 sec
the Thread sleep  0.006050 sec
the Thread sleep  0.007947 sec
the Thread sleep  0.005831 sec
the Thread sleep  0.008691 sec
the Thread sleep  0.005420 sec
the Thread sleep  0.007012 sec
the Thread sleep  0.005711 sec
the Thread sleep  0.006007 sec
the Thread sleep  0.005250 sec
the Thread sleep  0.007471 sec
the Thread sleep  0.005251 sec
the Thread sleep  0.006458 sec
the Thread sleep  0.007001 sec
the Thread sleep  0.005575 sec
the Thread sleep  0.005886 sec
the Thread sleep  0.008867 sec
the Thread sleep  0.008206 sec
the Thread sleep  0.006591 sec
the Thread sleep  0.008464 sec
the Thread sleep  0.005797 sec
the Thread sleep  0.009926 sec
the Thread sleep  0.008038 sec
the Thread sleep  0.008492 sec
the Thread sleep  0.009740 sec
the Thread sleep  0.012004 sec
the Thread sleep  0.006602 sec
the Thread sleep  0.005854 sec
the Thread sleep  0.011291 sec
the Thread sleep  0.006831 sec
the Thread sleep  0.007045 sec
the Thread sleep  0.006800 sec
the Thread sleep  0.005597 sec
the Thread sleep  0.005398 sec
the Thread sleep  0.007043 sec
the Thread sleep  0.005812 sec
the Thread sleep  0.005500 sec
the Thread sleep  0.005920 sec
the Thread sleep  0.005617 sec
the Thread sleep  0.005303 sec
the Thread sleep  0.011778 sec
the Thread sleep  0.007563 sec
the Thread sleep  0.005805 sec
the Thread sleep  0.005929 sec
the Thread sleep  0.007168 sec
the Thread sleep  0.005838 sec
the Thread sleep  0.007784 sec
the Thread sleep  0.005487 sec
the Thread sleep  0.006372 sec
the Thread sleep  0.006392 sec
the Thread sleep  0.006961 sec
the Thread sleep  0.005332 sec
the Thread sleep  0.004811 sec
the Thread sleep  0.005172 sec
the Thread sleep  0.005034 sec
the Thread sleep  0.005227 sec
the Thread sleep  0.005056 sec
the Thread sleep  0.005988 sec
the Thread sleep  0.005218 sec
the Thread sleep  0.007510 sec
the Thread sleep  0.009657 sec
the Thread sleep  0.007985 sec
the Thread sleep  0.009798 sec
the Thread sleep  0.007682 sec
the Thread sleep  0.008310 sec
the Thread sleep  0.006483 sec
the Thread sleep  0.006947 sec
the Thread sleep  0.008091 sec
the Thread sleep  0.006513 sec
the Thread sleep  0.005151 sec
the Thread sleep  0.007157 sec
the Thread sleep  0.005022 sec
the Thread sleep  0.005072 sec
the Thread sleep  0.007174 sec
the Thread sleep  0.005462 sec
the Thread sleep  0.007293 sec
the Thread sleep  0.009312 sec
the Thread sleep  0.006964 sec
the Thread sleep  0.007274 sec
the Thread sleep  0.005181 sec
the Thread sleep  0.007282 sec
the Thread sleep  0.006350 sec
the Thread sleep  0.008723 sec
the Thread sleep  0.005372 sec
the Thread sleep  0.007444 sec
the Thread sleep  0.005576 sec
the Thread sleep  0.007379 sec
the Thread sleep  0.005454 sec
the Thread sleep  0.007680 sec
the Thread sleep  0.005934 sec
the Thread sleep  0.007274 sec
the Thread sleep  0.005539 sec
the Thread sleep  0.007016 sec
the Thread sleep  0.006217 sec
the Thread sleep  0.007195 sec
the Thread sleep  0.006913 sec
the Thread sleep  0.007006 sec
the Thread sleep  0.008922 sec
the Thread sleep  0.009198 sec
the Thread sleep  0.008206 sec
the Thread sleep  0.005249 sec
the Thread sleep  0.011169 sec
the Thread sleep  0.010422 sec
the Thread sleep  0.010240 sec
the Thread sleep  0.006724 sec
the Thread sleep  0.009148 sec
the Thread sleep  0.006552 sec
the Thread sleep  0.007712 sec
the Thread sleep  0.005092 sec
the Thread sleep  0.006011 sec
the Thread sleep  0.006728 sec
the Thread sleep  0.008219 sec
the Thread sleep  0.005706 sec
the Thread sleep  0.005390 sec
the Thread sleep  0.005107 sec
the Thread sleep  0.005428 sec
the Thread sleep  0.007417 sec
the Thread sleep  0.004981 sec
the Thread sleep  0.005775 sec
the Thread sleep  0.006343 sec
the Thread sleep  0.006632 sec
the Thread sleep  0.006685 sec
the Thread sleep  0.007670 sec
